section_id,section_title,section_viet,section_num,section_note,item_code,item_viet,item_eng,price,size_S,size_M,size_L,size_XL
,,,,,219,Bánh Canh Giò Heo & Chả Lụa,Udon noodle soup with pork hock & Vietnamese sausage,16.25,,,,
,,,,,220,Bò Kho,"Beef stew with egg noodle, rice noodle, clear noodle, or 1 bread",,,16.25,,19.99
pho,Rice Noodle Soups,Phở,06,"Our soup sizes range from (S) Small, (M) Medium, (L) Large, (XL) Extra-Large",316,Phở Không,Plain rice noodle soup,,11.50,12.50,13.50,14.50
,,,,,317,Phở Vè Dòn,Tendon brisket rice noodle soup,,14.25,15.50,16.75,18.50
,,,,,318,Phở Tái,Rare beef rice noodle soup,,13.75,14.99,16.50,17.99
,,,,,319,Phở Tái Nạm,Rare beef & well-done flank rice noodle soup,,13.75,14.99,16.50,17.99
,,,,,320,Phở Rau Cải,Vegetable rice noodle soup,,13.75,14.99,16.50,17.99
,,,,,321,Phở Tái Bò Viên,Rare beef & beef balls rice noodle soup,,13.75,14.99,16.50,17.99
,,,,,322,Phở Tái Gầu,Rare beef & brisket rice noodle soup,,13.75,14.99,16.50,17.99
,,,,,323,Phở Tái Gân,Rare beef & soft tendon rice noodle soup,,13.75,14.99,16.50,17.99
,,,,,324,Phở Tái Sách,Rare beef & beef tripe rice noodle soup,,13.75,14.99,16.50,17.99
,,,,,325,Phở Tái Nạm Bò Viên,"Rare beef, well-done flank & beef balls rice noodle soup",,13.75,14.99,16.50,17.99
,,,,,326,Phở Tái Nạm Gân,"Rare beef, well-done flank & soft tendon rice noodle soup",,13.75,14.99,16.50,17.99
,,,,,327,Phở Tái Nạm Sách,"Rare beef, well-done flank & beef tripe rice noodle soup",,13.75,14.99,16.50,17.99
,,,,,328,Phở Nạm,Well-done flank rice noodle soup,,14.25,15.50,16.75,18.50
,,,,,329,Phở Nạm Bò Viên,Well-done flank & beef balls rice noodle soup,,14.25,15.50,16.75,18.50
,,,,,330,Phở Nạm Gầu,Well-done flank & brisket rice noodle soup,,14.25,15.50,16.75,18.50
,,,,,331,Phở Nạm Gân,Well-done flank & soft tendon rice noodle soup,,14.25,15.50,16.75,18.50
,,,,,332,Phở Nạm Sách,Well-done flank & beef tripe rice noodle soup,,14.25,15.50,16.75,18.50
,,,,,333,Phở Nạm Gân Sách,"Well-done flank, soft tendon & beef tripe rice noodle soup",,14.25,15.50,16.75,18.50
,,,,,334,Phở Bò Viên Sách,Beef balls & tripe rice noodle soup,,14.25,15.50,16.75,18.50
,,,,,335,Phở Bò Viên,Beef balls rice noodle soup,,14.25,15.50,16.75,18.50
,,,,,336,Phở Đặc Biệt,"Special assorted beef rice noodle soup (tái (rare beef), nạm (flank), gân (soft tendon), sách (tripe), bò viên (beef ball))",,14.25,15.50,16.75,18.50
,,,,,337,Phở Gà Nướng,Grilled chicken with lemongrass & rice noodle soup,,14.25,15.50,16.75,18.50
,,,,,338,Phở Gà,Chicken rice noodle soup,,14.25,15.50,16.75,18.50
,,,,,339,Phở Tái Gà,Rare beef & chicken rice noodle soup,,14.25,15.50,16.75,18.50
,,,,,340,Phở Nạm Gà,Well-done flank & chicken rice noodle soup,,14.25,15.50,16.75,18.50
,,,,,341,Phở Bò Gà,"Assorted beef & chicken rice noodle soup (tái (rare beef), nạm (flank), gân (soft tendon), sách (tripe), bò viên (beef ball), gà (chicken))",,14.25,15.50,16.75,18.50
,,,,,342,Phở Tôm Nướng,Grilled shrimp rice noodle soup,,14.25,15.50,16.75,18.50
,,,,,343,Phở Đồ Biển Rau Cải,Seafood with vegetable rice noodle soup,,14.50,15.75,16.99,18.75
,,,,,344,Phở Thái,Thai style rare beef & shrimp rice noodle soup,,14.50,15.75,16.99,18.75
,,,,,345,Phở Tom Yum,Well-done flank w/ Tom Yum sauce rice noodle soup,,14.50,15.75,16.99,18.75
,,,,,346,Phở Heo Nướng,Grilled pork with lemongrass rice noodle soup,,14.50,15.75,16.99,18.75
,,,,,347,Phở Xá Xíu,BBQ pork rice noodle soup,,14.50,15.75,16.99,18.75
,,,,,348,Phở Bò Nướng,Grilled beef with lemongrass rice noodle soup,,14.50,15.75,16.99,18.75
bun,Vermicelli,Bún,07,,441,Bún Đặc Biệt,"Special assorted meat vermicelli (beef, chicken, pork & shrimp)",17.99,,,,
,,,,,442,Bún Tôm Nướng,Vermicelli with grilled shrimp,17.99,,,,
,,,,,443,"Bún Tôm Nướng, Chả Giò",Vermicelli with grilled shrimp & spring roll (pork & shrimp),17.99,,,,
,,,,,447,"Bún Thịt Nướng, Chả Giò, Bì","Vermicelli with grilled pork, spring roll & shredded pork skin",16.75,,,,
,,,,,448,"Bún Thịt Nướng, Chả Giò",Vermicelli with grilled pork & spring roll (pork & shrimp),16.75,,,,
,,,,,449,"Bún Thịt Nướng, Bì",Vermicelli with grilled pork & shredded pork skin,16.75,,,,
,,,,,450,"Bún Chả Giò, Bì",Vermicelli with spring roll & shredded pork skin,16.75,,,,
,,,,,451,Bún Chả Giò,Vermicelli with spring roll (pork & shrimp),16.75,,,,
,,,,,452,Bún Bò Xào Xả Ớt,Grilled beef with lemongrass & hot chili on vermicelli,16.99,,,,
,,,,,452a,Bún Chả Giò Gà Nướng,Vermicelli with spring roll & grilled chicken with lemongrass,16.99,,,,
,,,,,453,Bún Gà Nướng,Vermicelli with grilled chicken with lemongrass,16.99,,,,
,,,,,454,"Bún Thịt Nướng, Nem Nướng",Vermicelli with grilled pork & grilled meat balls,16.75,,,,
,,,,,455,"Bún Chả Giò, Nem Nướng",Vermicelli with spring roll & grilled meat balls,16.75,,,,
,,,,,456,Bún Nem Nướng,Vermicelli with Vietnamese grilled meat balls,16.75,,,,
,,,,,457,Nem Nướng,"Vietnamese grilled meat balls, served with vermicelli, mint leaves, salad & rice paper — make your own wrap",19.50,,,,
,,,,,477,"Bún Chạo Tôm, Chả Giò",Vermicelli with grilled shrimp paste on sugar cane & spring roll,17.99,,,,
,,,,,478,"Bún Chạo Tôm, Nem Nướng, Bì","Vermicelli with grilled shrimp paste on sugar cane, shredded pork skin & meat ball",19.50,,,,
comtam,Steamed Rice,Cơm Tấm,08,,458,"Cơm Tấm Sườn Nướng, Chả, Bì","Grilled pork chop, shredded pork skin & steamed egg with ground pork, steamed rice",16.99,,,,
,,,,,459,"Cơm Tấm Sườn Nướng, Bì, Trứng Ổp La","Grilled pork chop, shredded pork skin & fried egg, steamed rice",16.99,,,,
,,,,,460,"Cơm Tấm Sườn Nướng, Chả, Ổp La","Grilled pork chop, fried egg & steamed egg with ground pork, steamed rice",16.99,,,,
,,,,,461,Cơm Tấm Sườn Nướng,Grilled pork chop with steamed rice,16.99,,,,
